"","nurse_id","quarter","engagement"
"1","1","Q1",68
"2","2","Q1",72
"3","3","Q1",65
"4","4","Q1",70
"5","5","Q1",74
"6","6","Q1",67
"7","7","Q1",71
"8","8","Q1",66
"9","9","Q1",73
"10","10","Q1",69
"11","11","Q1",70
"12","12","Q1",64
"13","13","Q1",75
"14","14","Q1",68
"15","15","Q1",72
"16","16","Q1",66
"17","17","Q1",74
"18","18","Q1",67
"19","19","Q1",71
"20","20","Q1",69
"21","21","Q1",73
"22","22","Q1",65
"23","23","Q1",70
"24","24","Q1",68
"25","25","Q1",72
"26","1","Q2",71.7431564217961
"27","2","Q2",75.3144328033029
"28","3","Q2",69.6958797799507
"29","4","Q2",70.4332146869896
"30","5","Q2",79.3165572161792
"31","6","Q2",68.181787573668
"32","7","Q2",74.6699814103372
"33","8","Q2",70.5517081638328
"34","9","Q2",76.474280304552
"35","10","Q2",68.8802597308256
"36","11","Q2",73.0486535023778
"37","12","Q2",67.6692703783166
"38","13","Q2",79.9788219982943
"39","14","Q2",72.0007502270832
"40","15","Q2",76.1538157309109
"41","16","Q2",71.2853818802382
"42","17","Q2",75.585104371154
"43","18","Q2",68.7628807180377
"44","19","Q2",73.9833716077151
"45","20","Q2",72.6778394679054
"46","21","Q2",78.8108125976937
"47","22","Q2",66.2694602952747
"48","23","Q2",71.2520920867598
"49","24","Q2",72.5486364016498
"50","25","Q2",74.1962195169655
"51","1","Q3",73.3128807607243
"52","2","Q3",78.5249450643309
"53","3","Q3",70.4667444126558
"54","4","Q3",70.9843688241408
"55","5","Q3",80.8026719418156
"56","6","Q3",69.3976421009689
"57","7","Q3",75.2965774868479
"58","8","Q3",74.3033888440945
"59","9","Q3",77.512164332467
"60","10","Q3",71.0169749125618
"61","11","Q3",75.3227032880094
"62","12","Q3",65.9517333405754
"63","13","Q3",82.6713751410153
"64","14","Q3",77.004017866977
"65","15","Q3",78.1263394902521
"66","16","Q3",71.7348914852161
"67","17","Q3",80.2074206425064
"68","18","Q3",71.2839298311474
"69","19","Q3",78.0114056229666
"70","20","Q3",75.1090278848547
"71","21","Q3",82.0376218498776
"72","22","Q3",71.1614372573988
"73","23","Q3",74.5682638882502
"74","24","Q3",75.2991053946328
"75","25","Q3",74.8468429650891
"76","1","Q4",76.4738419073169
"77","2","Q4",79.6964863998776
"78","3","Q4",76.8277523834406
"79","4","Q4",73.6700841114413
"80","5","Q4",81.2066226180013
"81","6","Q4",74.6797144334762
"82","7","Q4",76.3765672635454
"83","8","Q4",73.1304468668821
"84","9","Q4",77.4223329843234
"85","10","Q4",73.1002822443333
"86","11","Q4",76.4586505330548
"87","12","Q4",68.868915635949
"88","13","Q4",84.2126711688967
"89","14","Q4",75.2900934472954
"90","15","Q4",79.5469911442898
"91","16","Q4",77.2691739609545
"92","17","Q4",81.3220548479048
"93","18","Q4",72.1062010271443
"94","19","Q4",79.7702291062608
"95","20","Q4",80.4151504485783
"96","21","Q4",82.2949127126182
"97","22","Q4",74.7227737991143
"98","23","Q4",75.3405081496128
"99","24","Q4",76.6439227720207
"100","25","Q4",76.136410933286
