"","nurse_id","time","program","nurse_effect","fixed","score"
"1",1,"Pre","Traditional",2.30699719145241,65,69.5057457554875
"2",2,"Pre","Traditional",-5.01395300467824,65,60.9648340014831
"3",3,"Pre","Traditional",-5.23664372075753,65,58.2725517947413
"4",4,"Pre","Traditional",2.13876095684538,65,66.3744492139457
"5",5,"Pre","Traditional",-1.39780545499153,65,62.842223483629
"6",6,"Pre","Traditional",-4.64243557610762,65,59.1746168362538
"7",7,"Pre","Traditional",-3.73977868593719,65,65.5843661193367
"8",8,"Pre","Traditional",-2.31520093973823,65,62.6478781349327
"9",9,"Pre","Traditional",6.47518250285492,65,69.1693929413036
"10",10,"Pre","Traditional",-4.99379975447611,65,62.7888645603965
"11",11,"Pre","Traditional",1.36165771866931,65,66.7359612123054
"12",12,"Pre","Traditional",-0.838315495003455,65,58.6191229289835
"13",13,"Pre","Traditional",7.24355714680248,65,69.4817157345363
"14",14,"Pre","Traditional",-5.28425077332193,65,57.9979479159988
"15",15,"Pre","Traditional",-4.61297955273901,65,61.6479115490427
"16",16,"Pre","Traditional",-2.90258094707682,65,59.7367074850625
"17",17,"Pre","Traditional",-7.44264681133488,65,57.4801664412151
"18",18,"Pre","Traditional",-1.71438772491263,65,60.1612258543928
"19",19,"Pre","Traditional",-4.89185710731192,65,63.5570091501189
"20",20,"Pre","Traditional",-3.07297672765588,65,61.5956857311826
"21",21,"Pre","Simulation",5.43378283741216,65,70.1404759941078
"22",22,"Pre","Simulation",0.241543825342896,65,62.1074994950693
"23",23,"Pre","Simulation",4.35968516468691,65,68.3616872104423
"24",24,"Pre","Simulation",-0.204150057962973,65,67.2875549022532
"25",25,"Pre","Simulation",-3.28407211443604,65,59.2688444181372
"26",26,"Pre","Simulation",0.58266319606998,65,64.1289407801728
"27",27,"Pre","Simulation",-1.11996573300658,65,63.0420201349604
"28",28,"Pre","Simulation",2.6357844745384,65,61.3716073358551
"29",29,"Pre","Simulation",-3.31821490704232,65,61.7701915888195
"30",30,"Pre","Simulation",1.25621823373845,65,59.7263292548529
"31",31,"Pre","Simulation",-3.75093279602108,65,66.1690225044541
"32",32,"Pre","Simulation",2.11666563767071,65,66.8830773969099
"33",33,"Pre","Simulation",-1.34610879615499,65,62.1977641305162
"34",34,"Pre","Simulation",4.42238150533175,65,68.7218100242155
"35",35,"Pre","Simulation",-0.307526787386083,65,66.6626770248158
"36",36,"Pre","Simulation",1.91617638445552,65,66.3456853459411
"37",37,"Pre","Simulation",5.01089171185694,65,70.6152096225412
"38",38,"Pre","Simulation",2.68650052040675,65,69.173827129294
"39",39,"Pre","Simulation",0.614573876832314,65,63.7714709771687
"40",40,"Pre","Simulation",-4.76957279039573,65,58.4131143084178
